latin,category,ideallight,toleratedlight,watering,use,tempmax.celsius,tempmin.celsius,toxicity_animals,toxicity_humans,tempmin_pasmo,tempmax_pasmo,is_cold_tolerant,is_heat_tolerant,category_group,light_level_clean
Nolina guatemalensis,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Water when soil is half dry. Can be dry between watering.,Primary; Potted plant,32,12,toksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło
Medinilla magnifica,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Flower,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Bezpośrednie światło
Hibiscus rosa sinensis,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Flower; Secondary,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Bezpośrednie światło
Nephrolepis exaltata var,Fern,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Tertiary,28,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Howea forsteriana,Palm,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Rozproszone światło
Homalomena,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,28,10,toksyczna,toksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Peperomia clusiifolia,Other,Bright light,/,Keep moist between watering. Water when soil is half dry.,Table top; Ground cover; Tertiary,32,10,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Inne,Rozproszone światło
Pandorea jasminoides,Flower,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,8,lekko toksyczna,może powodować nudności po spożyciu,Toleruje chłód,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Bezpośrednie światło
Neoregelia carolinae var.,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Colors / Forms,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Radermachera sinica,Other,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Inne,Bezpośrednie światło
Pteris cretica Parkeri,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Polystichum tsus simense,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,-5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Paproć / roślina zielona,Rozproszone światło
Polystichum polyblepharum,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,-5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Paproć / roślina zielona,Rozproszone światło
Ravenea rivularis,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Polyscias scutellaria,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Pteris cretica Albo lineata,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Platycerium bifurcatum,Fern,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Tertiary,30,5,nietoksyczna,nietoksyczna,Odporna na chłód,Normalna tolerancja ciepła,1,0,Paproć / roślina zielona,Rozproszone światło
Philodendron Xanadu,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Polyscias pinnatta,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Philodendron Tatei Congo,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Sansevieria trifasciata Laurentii,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Tertiary,35,10,"toksyczna (nudności, wymioty)","lekko toksyczna (gorzkawy smak, biegunka)",Toleruje chłód,Odporna na upał,0,1,Paproć / roślina zielona,Rozproszone światło
Philodendron pinnatifidum,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Podocarpus gracilior,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,30,10,"toksyczna (senność, wymioty)","toksyczna (bóle brzucha, wymioty)",Toleruje chłód,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło
Sansevieria trifasciata Hahnii,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Table top; Tertiary,35,10,toksyczna,lekko toksyczna,Toleruje chłód,Odporna na upał,0,1,Paproć / roślina zielona,Rozproszone światło
Sansevieria trifasciata,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Primary,35,10,toksyczna,lekko toksyczna,Toleruje chłód,Odporna na upał,0,1,Paproć / roślina zielona,Rozproszone światło
Polyscias crispata,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Phoenix roebellinii,Palm,6 or more hours of direct sunlight per day.,/,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,28,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Polyscias pinnata Marginata,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Polyscias fruticosa Elegans,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Philodendron selloum,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Pteris ensiformis Evergemiensis,Fern,Bright light,/,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Rhapis excelsa,Palm,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,8,nietoksyczna,nietoksyczna,Toleruje chłód,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Rozproszone światło
Polyscias fruticosa,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Philodendron scandens oxycardium,Philodendron,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,18,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Veitchia merrillii,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Spathiphyllum Lynise,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,28,15,toksyczna (szczawiany wapnia),toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Spathiphyllum Ceres,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Vriesea splendens,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Trichilia dregei,Other,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,28,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Inne,Rozproszone światło
Vriesea Ginger,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Vriesea Charlotte,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Syngonium podophyllum,Hanging,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Hanging; Tertiary,28,12,"toksyczna (szczawiany wapnia – ślinotok, wymioty)","toksyczna (pieczenie ust, gardła)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło
Syagrus schizophylla,Palm,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,30,12,nietoksyczna,nietoksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Tillandsia cyanea,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Vriesea Christiane,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,28,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Tillandsia Creation,Bromeliad,Bright light,Diffused,Change water regularly in the vase. Water when soil is half dry.,Table top; Tertiary,30,15,nietoksyczna,nietoksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Xanthosoma lindenii,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Potted plant; Primary,28,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Schefflera elegantissima,Aralia,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Can dry between watering,Potted plant; Secondary,28,12,"toksyczna (szczawiany, gorzki sok)",toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Spathiphyllum Sensation,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Primary,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Spathiphyllum Starlight,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Sedum morganianum,Hanging,6 or more hours of direct sunlight per day.,Direct sunlight.,Water only when the soil is dry. Must be dry between watering,Hanging; Tertiary,35,8,nietoksyczna,nietoksyczna,Toleruje chłód,Odporna na upał,0,1,Wisząca,Bezpośrednie światło
Spathiphyllum Domino,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Scindapsus pictus argyraeus,Hanging,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Hanging; Tertiary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Wisząca,Rozproszone światło
Xanthorrhoea arborea,Other,6 or more hours of direct sunlight per day.,/,Water only when the soil is dry. Must be dry between watering,Potted plant; Primary,35,12,nietoksyczna (dane ograniczone),nietoksyczna,Tylko temperatura pokojowa,Odporna na upał,0,1,Inne,Bezpośrednie światło
Schefflera arboricola Trinette,Schefflera,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Schefflera actinophylla Amate,Schefflera,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Schefflera actinophylla Renegade,Schefflera,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,28,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Sansevieria trifasciata var,Sansevieria,Bright light,Diffused,Water when soil is half dry. Can be dry between watering.,Potted plant; Secondary,35,10,toksyczna,lekko toksyczna,Toleruje chłód,Odporna na upał,0,1,Paproć / roślina zielona,Rozproszone światło
Spathiphyllum Supreme,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Potted plant; Secondary,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Schefflera arboricola,Schefflera,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,12,toksyczna,toksyczna,Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Palma / drzewko ozdobne,Bezpośrednie światło
Spathiphyllum,Spathiphyllum,Bright light,Diffused,Keep moist between watering. Must not be dry between watering,Table top; Tertiary,28,15,toksyczna,toksyczna,Lubi ciepło,Normalna tolerancja ciepła,0,0,Roślina kwitnąca,Rozproszone światło
Strelitzia nicolai,Foliage plant,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Table top; Tertiary,30,12,toksyczna (łagodne zatrucia),lekko toksyczna (niestrawność),Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło
Zamioculcas zamifolia,Foliage plant,Bright light,Diffused,Keep moist between watering. Water when soil is half dry.,Table top; Secondary,30,12,"toksyczna (kontakt i spożycie – wymioty, biegunka)","toksyczna (szczawiany wapnia – podrażnienia skóry, jamy ustnej)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Rozproszone światło
Yucca elephantipes,Dracaena,6 or more hours of direct sunlight per day.,Direct sunlight.,Keep moist between watering. Water when soil is half dry.,Potted plant; Secondary,30,12,"toksyczna (saponiny – wymioty, biegunka)","lekko toksyczna (bóle brzucha, nudności)",Tylko temperatura pokojowa,Normalna tolerancja ciepła,0,0,Paproć / roślina zielona,Bezpośrednie światło
